Date,Drawdown
1996-05-29,-0.024092494512960028
1996-05-30,-0.028330067866602193
1996-05-31,-0.026214596974878046
1996-06-03,-0.018714291086037282
1996-06-04,-0.019185132569775276
1996-06-05,-0.0178521869608832
1996-06-06,-0.013859981704400504
1996-06-07,-0.01148587957512981
1996-06-10,-0.0077523055561932175
1996-06-11,-0.006140833999174533
1996-06-12,-0.0012334720559896706
1996-06-13,0.0
1996-06-14,0.0
1996-06-17,0.0
1996-06-18,-0.0008344695927338108
1996-06-19,-0.010483024258719609
1996-06-20,-0.010509101433492707
1996-06-21,-0.019466610967995734
1996-06-24,-0.017941096243779042
1996-06-25,-0.024773316034288007
1996-06-26,-0.02920643574568671
1996-06-27,-0.025073203544176637
1996-06-28,-0.027341917749421962
1996-07-01,-0.033267955716571485
1996-07-02,-0.0361429642352874
1996-07-03,-0.045198263175189046
1996-07-04,-0.04299474190687613
1996-07-05,-0.0407586241700969
1996-07-08,-0.03807919446217778
1996-07-09,-0.048366639910100595
1996-07-10,-0.046893279535429766
1996-07-11,-0.043359822353697175
1996-07-12,-0.04584367325081917
1996-07-15,-0.04615659934809435
1996-07-16,-0.05070706634597155
1996-07-17,-0.04453981451217248
1996-07-18,-0.041358399189874384
1996-07-19,-0.04208204078982325
1996-07-22,-0.03599302048034314
1996-07-23,-0.05111126255495202
1996-07-24,-0.05949507424445055
1996-07-25,-0.061737711274923
1996-07-26,-0.0663598905034255
1996-07-29,-0.07518049487037082
1996-07-30,-0.08304276306441083
1996-07-31,-0.07374625025785952
1996-08-01,-0.07257929668677054
1996-08-02,-0.07541518944332715
1996-08-05,-0.07720799520896648
1996-08-06,-0.07806202268278029
1996-08-07,-0.07273575973540813
1996-08-08,-0.0756824804847499
1996-08-09,-0.07688854981799798
1996-08-12,-0.08113261001229322
1996-08-13,-0.08331005410583314
1996-08-14,-0.08842769965502173
1996-08-16,-0.09357142237898308
1996-08-19,-0.10537786325742926
1996-08-20,-0.10498670563583523
1996-08-21,-0.09622477491212922
1996-08-22,-0.09623781349951577
1996-08-23,-0.09196115683675432
1996-08-26,-0.09205894624215294
1996-08-27,-0.09162867285839937
1996-08-29,-0.08526584221380329
1996-08-30,-0.08476385659942443
1996-09-02,-0.08366209596526786
1996-09-03,-0.09037696846929877
1996-09-04,-0.08895576244417358
1996-09-06,-0.08879278010184277
1996-09-09,-0.09301728241505813
1996-09-10,-0.09744388283276395
1996-09-11,-0.10323301563235543
1996-09-12,-0.1032590928071283
1996-09-13,-0.10762701958159493
1996-09-18,-0.10498018634214212
1996-09-19,-0.11013694765348991
1996-09-20,-0.11170809743355925
1996-09-23,-0.11489603204955057
1996-09-24,-0.11559359647472645
1996-09-25,-0.11619337149450404
1996-09-26,-0.12102416812119021
1996-09-27,-0.12711318843067054
1996-09-30,-0.13147459591144373
1996-10-01,-0.13327392097077617
1996-10-03,-0.137224612948876
1996-10-04,-0.1470296306634994
1996-10-07,-0.1601203723995127
1996-10-08,-0.15909032399598177
1996-10-09,-0.15673033967903116
1996-10-10,-0.14530853712848568
1996-10-11,-0.13988448477571525
1996-10-14,-0.14726432523645583
1996-10-15,-0.14740123040401376
1996-10-16,-0.14841824022015804
1996-10-17,-0.14880287854805907
1996-10-18,-0.14705570783827226
1996-10-22,-0.1372898058858083
1996-10-23,-0.1304230729544874
1996-10-24,-0.1304230729544874
1996-10-25,-0.1304230729544874
1996-10-28,-0.1304230729544874
1996-10-29,-0.1304230729544874
1996-10-30,-0.1304230729544874
1996-10-31,-0.1304230729544874
1996-11-01,-0.1304230729544874
1996-11-04,-0.1304230729544874
1996-11-05,-0.1304230729544874
1996-11-06,-0.1304230729544874
1996-11-07,-0.1304230729544874
1996-11-10,-0.1304230729544874
1996-11-13,-0.1304230729544874
1996-11-14,-0.1304230729544874
1996-11-15,-0.1304230729544874
1996-11-18,-0.1304230729544874
1996-11-19,-0.1304230729544874
1996-11-20,-0.1304230729544874
1996-11-21,-0.1304230729544874
1996-11-22,-0.1304230729544874
1996-11-25,-0.1304230729544874
1996-11-26,-0.1304230729544874
1996-11-27,-0.1304230729544874
1996-11-28,-0.1304230729544874
1996-11-29,-0.1304230729544874
1996-12-02,-0.1304230729544874
1996-12-03,-0.1304230729544874
1996-12-04,-0.1304230729544874
1996-12-05,-0.1304230729544874
1996-12-06,-0.1304230729544874
1996-12-09,-0.1304230729544874
1996-12-10,-0.1304230729544874
1996-12-11,-0.1304230729544874
1996-12-12,-0.1304230729544874
1996-12-13,-0.1304230729544874
1996-12-16,-0.1304230729544874
1996-12-17,-0.1304230729544874
1996-12-18,-0.1304230729544874
1996-12-19,-0.1304230729544874
1996-12-20,-0.1304230729544874
1996-12-23,-0.1304230729544874
1996-12-24,-0.1304230729544874
1997-01-01,-0.1304230729544874
1997-01-02,-0.1304230729544874
1997-01-03,-0.1304230729544874
1997-01-06,-0.1304230729544874
1997-01-07,-0.1304230729544874
1997-01-08,-0.1304230729544874
1997-01-09,-0.1304230729544874
1997-01-10,-0.1304230729544874
1997-01-13,-0.1304230729544874
1997-01-14,-0.1304230729544874
1997-01-15,-0.1304230729544874
1997-01-16,-0.1304230729544874
1997-01-17,-0.1304230729544874
1997-01-20,-0.1304230729544874
1997-01-21,-0.1304230729544874
1997-01-22,-0.1304230729544874
1997-01-24,-0.1304230729544874
1997-01-27,-0.1304230729544874
1997-01-28,-0.1304230729544874
1997-01-29,-0.1304230729544874
1997-01-30,-0.1304230729544874
1997-01-31,-0.12735482699828204
1997-02-03,-0.13329163717311254
1997-02-04,-0.13191002927528328
1997-02-05,-0.13079516745673792
1997-02-06,-0.12677345733830436
1997-02-07,-0.1267529384091287
1997-02-10,-0.12472156442073623
1997-02-11,-0.11753993920924755
1997-02-12,-0.11864112174167574
1997-02-13,-0.11743734456336907
1997-02-14,-0.11533073450133224
1997-02-17,-0.10951703790155576
1997-02-18,-0.11548120664862072
1997-02-19,-0.11652767203658032
1997-02-20,-0.11971494570186969
1997-02-21,-0.1257406712364616
1997-02-24,-0.13429022505966248
1997-02-25,-0.13513150115586547
1997-02-26,-0.13441333863471638
1997-02-27,-0.12736166664134052
1997-02-28,-0.10474980668973921
1997-03-01,-0.07832826555451922
1997-03-03,-0.07168013250159855
1997-03-04,-0.06589379447405619
1997-03-05,-0.06569544482535794
1997-03-06,-0.07254876717003567
1997-03-10,-0.08490800217685468
1997-03-11,-0.09241109061209574
1997-03-12,-0.08727451867511682
1997-03-13,-0.08819787048802241
1997-03-14,-0.09086533128086105
1997-03-17,-0.08628277043162547
1997-03-18,-0.08665211115678773
1997-03-19,-0.09702784967662414
1997-03-20,-0.09392265172803771
1997-03-21,-0.09485284318400178
1997-03-25,-0.09048231126958162
1997-03-26,-0.09303349813042461
1997-03-27,-0.09248632668573975
1997-03-28,-0.09912078045254369
1997-03-31,-0.13332583538840537
1997-04-01,-0.12703336377452956
1997-04-02,-0.11366186159504355
1997-04-03,-0.1102488797088218
1997-04-04,-0.11243756548756123
1997-04-07,-0.11842909280686043
1997-04-09,-0.10375121880318927
1997-04-10,-0.11173308225252943
1997-04-11,-0.10869628073452864
1997-04-12,-0.1122734140541558
1997-04-15,-0.10847057251359604
1997-04-17,-0.10037243513226035
1997-04-21,-0.0926094402607941
1997-04-22,-0.09024292376253196
1997-04-23,-0.08925117551904072
1997-04-24,-0.09028396162088348
1997-04-25,-0.08905966551340094
1997-04-28,-0.08843725799507207
1997-04-29,-0.09211014631751913
1997-04-30,-0.08629644971774253
1997-05-02,-0.09007877232912664
1997-05-05,-0.09285566741090212
1997-05-06,-0.09298562062901483
1997-05-07,-0.09292406384148777
1997-05-09,-0.08985990375125252
1997-05-12,-0.09014716875971218
1997-05-13,-0.09340967849864557
1997-05-14,-0.08917593944539648
1997-05-15,-0.0901403291166536
1997-05-16,-0.09064646270298704
1997-05-19,-0.08851933371177478
1997-05-20,-0.09067382127522139
1997-05-21,-0.09376533993769076
1997-05-22,-0.09472288996588918
1997-05-23,-0.09794436184647137
1997-05-26,-0.09873092079820578
1997-05-27,-0.10082385157412521
1997-05-28,-0.10162408981197679
1997-05-29,-0.09858044865091731
1997-05-30,-0.09578303463996607
1997-06-02,-0.0899556587540723
1997-06-03,-0.08864244728682891
1997-06-04,-0.08583135398976038
1997-06-05,-0.08498323825049892
1997-06-06,-0.0889502312244641
1997-06-09,-0.08864928692988738
1997-06-10,-0.08580399541752626
1997-06-11,-0.07826670876699227
1997-06-12,-0.07163225500018844
1997-06-13,-0.06657091913685365
