Date,Roll_1Y,Roll_3Y,Roll_5Y
1996-11-14,-0.040304964633656404,,
1996-11-15,-0.04214407423194699,,
1996-11-18,-0.05739128057710696,,
1996-11-19,-0.053590366325273364,,
1996-11-20,-0.055488743006906205,,
1996-11-21,-0.05875382534202023,,
1996-11-22,-0.049678061032936704,,
1996-11-25,-0.05107094300828019,,
1996-11-26,-0.05179445203997879,,
1996-11-27,-0.05775502063690252,,
1996-11-28,-0.06791036174301879,,
1996-11-29,-0.06805410275983959,,
1996-12-02,-0.07795770594386597,,
1996-12-03,-0.09406005080392033,,
1996-12-04,-0.10482937799965064,,
1996-12-05,-0.10649541295023202,,
1996-12-06,-0.10747309993368681,,
1996-12-09,-0.1147598720951356,,
1996-12-10,-0.11604364249608823,,
1996-12-11,-0.12891151679410107,,
1996-12-12,-0.14070146827301333,,
1996-12-13,-0.1536142981151487,,
1996-12-16,-0.14135488212498648,,
1996-12-17,-0.13914745681832164,,
1996-12-18,-0.14977181126133088,,
1996-12-19,-0.15875439195149343,,
1996-12-20,-0.15290147563077705,,
1996-12-23,-0.14199917007908436,,
1996-12-24,-0.14197751209467668,,
1997-01-01,-0.1507738271288117,,
1997-01-02,-0.13979240859726638,,
1997-01-03,-0.12756210934069445,,
1997-01-06,-0.1520168840339855,,
1997-01-07,-0.16244092058768267,,
1997-01-08,-0.16878042337135668,,
1997-01-09,-0.1626691795867774,,
1997-01-10,-0.169440164664158,,
1997-01-13,-0.1725857831550015,,
1997-01-14,-0.1764281067069633,,
1997-01-15,-0.18569128985859296,,
1997-01-16,-0.17618063596689038,,
1997-01-17,-0.1632226661471884,,
1997-01-20,-0.15474651869865164,,
1997-01-21,-0.14974342343786695,,
1997-01-22,-0.1551560436817574,,
1997-01-24,-0.16049896118381568,,
1997-01-27,-0.17237135441634288,,
1997-01-28,-0.1798170792441247,,
1997-01-29,-0.1906559459243532,,
1997-01-30,-0.19534742789186377,,
1997-01-31,-0.19438563087746785,,
1997-02-03,-0.18752283543273562,,
1997-02-04,-0.1861387343268941,,
1997-02-05,-0.1842441911563104,,
1997-02-06,-0.18852813976497862,,
1997-02-07,-0.2011643094824297,,
1997-02-10,-0.2107625965687988,,
1997-02-11,-0.22075868756517836,,
1997-02-12,-0.22235473677815398,,
1997-02-13,-0.23262179688763163,,
1997-02-14,-0.2558221867261249,,
1997-02-17,-0.26048206670334006,,
1997-02-18,-0.24869233754935893,,
1997-02-19,-0.23424661834638705,,
1997-02-20,-0.2213212255942315,,
1997-02-21,-0.1993200593316653,,
1997-02-24,-0.1482296289466386,,
1997-02-25,-0.12536977190289134,,
1997-02-26,-0.14130193165926352,,
1997-02-27,-0.14038668288393075,,
1997-02-28,-0.11014518423569286,,
1997-03-01,-0.07581380450692532,,
1997-03-03,-0.06308488058663964,,
1997-03-04,-0.05081243464102658,,
1997-03-05,-0.02901843759128353,,
1997-03-06,-0.03337775935496312,,
1997-03-10,-0.047721834991017786,,
1997-03-11,-0.044856529580569404,,
1997-03-12,-0.055526918546248916,,
1997-03-13,-0.0446608132853622,,
1997-03-14,-0.04492429133323772,,
1997-03-17,-0.03633297098224342,,
1997-03-18,-0.04165628213118833,,
1997-03-19,-0.05074130162445567,,
1997-03-20,-0.08032381480565731,,
1997-03-21,-0.07572732921833247,,
1997-03-25,-0.07255049769720501,,
1997-03-26,-0.07030388031093437,,
1997-03-27,-0.07490549860101992,,
1997-03-28,-0.08174211024637423,,
1997-03-31,-0.08698323421053422,,
1997-04-01,-0.09160936528350927,,
1997-04-02,-0.08389341612456236,,
1997-04-03,-0.08113056835422416,,
1997-04-04,-0.08914758735533501,,
1997-04-07,-0.09965767735391251,,
1997-04-09,-0.11137134890778366,,
1997-04-10,-0.10165100197690857,,
1997-04-11,-0.10943377714175329,,
1997-04-12,-0.10882167754932981,,
1997-04-15,-0.10935674206975143,,
1997-04-17,-0.09897723689338223,,
1997-04-21,-0.0793481700241937,,
1997-04-22,-0.06653681285739232,,
1997-04-23,-0.06050952516664143,,
1997-04-24,-0.0628902106489082,,
1997-04-25,-0.05320337905588335,,
1997-04-28,-0.04289562485804044,,
1997-04-29,-0.04342868256373922,,
1997-04-30,-0.04783768412750877,,
1997-05-02,-0.051147525695688256,,
1997-05-05,-0.04482742627363023,,
1997-05-06,-0.03067814723577389,,
1997-05-07,-0.02254135461373241,,
1997-05-09,0.0009652255258886244,,
1997-05-12,0.017736768080512055,,
1997-05-13,0.0140886938224416,,
1997-05-14,0.014691545543802254,,
1997-05-15,0.04613844273214407,,
1997-05-16,0.04395854411634503,,
1997-05-19,0.029998883024660472,,
1997-05-20,0.036178068797616314,,
1997-05-21,0.03889334216905793,,
1997-05-22,0.031193761203898274,,
1997-05-23,0.016584341332701036,,
1997-05-26,0.028475742912601687,,
1997-05-27,0.016437284554196574,,
1997-05-28,0.010260007915692815,,
1997-05-29,0.01831580476388528,,
1997-05-30,0.026552566019479862,,
1997-06-02,0.026395824384471966,,
1997-06-03,0.03378697335084657,,
1997-06-04,0.024910933570994498,,
1997-06-05,0.0077654575525257785,,
1997-06-06,0.00016313935154088632,,
1997-06-09,-0.0003898490191516224,,
1997-06-10,-0.0021506200747634097,,
1997-06-11,0.0011224359556596397,,
1997-06-12,-0.013082460907351101,,
1997-06-13,-0.019278477492377544,,
1997-06-16,0.005281598381819852,,
1997-06-17,-0.0027613795677733366,,
1997-06-18,0.0013004153755339365,,
1997-06-19,0.015446026793596856,,
1997-06-20,0.014573972879611818,,
1997-06-23,0.017099128448405887,,
1997-06-24,0.02455801910183053,,
1997-06-25,0.02879410867303922,,
1997-06-26,0.03559048198899306,,
1997-06-27,0.03844159739216757,,
1997-06-30,0.04848971168418059,,
1997-07-01,0.05963603587543276,,
1997-07-02,0.0778134992280658,,
1997-07-03,0.08145744905977104,,
1997-07-04,0.08002206740142515,,
1997-07-07,0.0631407533401187,,
1997-07-08,0.06348007199335004,,
1997-07-09,0.048101342879027564,,
1997-07-10,0.05097974477148948,,
1997-07-11,0.03740419097354275,,
1997-07-14,0.028232476417254904,,
1997-07-15,0.036156010863918175,,
1997-07-16,0.03163323001752505,,
1997-07-17,0.02018587675866257,,
1997-07-18,0.014294897299872877,,
1997-07-21,-3.6228713229391474e-07,,
1997-07-22,-6.581111606784873e-07,,
1997-07-23,-1.1571746618699308e-06,,
1997-07-24,-7.327014865943227e-07,,
1997-07-25,-1.3767738926695472e-06,,
1997-07-28,-1.3981312703137405e-06,,
1997-07-29,-1.445115565434918e-06,,
1997-07-30,-1.967111881606698e-06,,
1997-07-31,-2.5642980769902124e-06,,
1997-08-01,-3.507816071834924e-06,,
1997-08-04,-4.28462263246665e-06,,
1997-08-05,-4.75132329835759e-06,,
1997-08-06,-4.5167714033400586e-06,,
1997-08-07,-3.1018075923316957e-06,,
1997-08-08,-4.1229423817235045e-06,,
1997-08-11,-5.904811235524221e-06,,
1997-08-12,-5.680641389949059e-06,,
1997-08-13,-5.645848160540368e-06,,
1997-08-14,-6.116113373089149e-06,,
1997-08-19,-5.7278857630294056e-06,,
1997-08-20,-5.1804249081577325e-06,,
1997-08-21,-4.150544109293719e-06,,
1997-08-22,-3.2898934199110386e-06,,
1997-08-26,-4.098309982714099e-06,,
1997-08-27,-4.201964092453991e-06,,
1997-08-28,-1.9181337891360783e-06,,
1997-08-29,-1.093261392082212e-06,,
1997-09-01,-1.8472138987313258e-06,,
1997-09-02,-2.4024790450383193e-06,,
1997-09-03,-2.8637060955905014e-06,,
1997-09-04,-3.910017206676386e-06,,
1997-09-05,-4.8187279642064595e-06,,
1997-09-08,-7.47367168263402e-06,,
1997-09-09,-6.838609032389087e-06,,
1997-09-10,-5.622994459830721e-06,,
1997-09-11,-5.2055706367681864e-06,,
1997-09-12,-4.247419102432204e-06,,
1997-09-15,-4.449416536989048e-06,,
1997-09-16,-4.229192509974666e-06,,
1997-09-17,-2.4311607553784143e-06,,
1997-09-18,-1.845197791894293e-06,,
1997-09-19,-9.390135979892023e-07,,
1997-09-22,-1.2044771511288133e-06,,
1997-09-23,-1.5010892753242189e-06,,
1997-09-24,-1.513988718615522e-06,,
1997-09-25,-2.592016240088313e-06,,
1997-09-26,-3.559976795797226e-06,,
1997-09-29,-4.424845748030037e-06,,
1997-09-30,-4.055349399623154e-06,,
1997-10-01,-4.707675000270584e-06,,
1997-10-03,-3.5593591587446127e-06,,
1997-10-06,-4.406018035529868e-06,,
1997-10-07,-5.205529202800818e-06,,
1997-10-08,-5.9365631048802214e-06,,
1997-10-09,-6.638326049523968e-06,,
1997-10-10,-7.33712200684522e-06,,
1997-10-13,-8.386711429997362e-06,,
1997-10-14,-8.685296507771056e-06,,
1997-10-15,-9.76353697623722e-06,,
1997-10-16,-1.0762444380363334e-05,,
1997-10-17,-1.2025118286906888e-05,,
1997-10-20,-1.5125381726210918e-05,,
1997-10-21,-1.7546101962917504e-05,,
1997-10-22,-1.6771561253126066e-05,,
1997-10-23,-1.5033024566069031e-05,,
1997-10-24,-1.1449446110978201e-05,,
1997-10-27,-1.0097128582131631e-05,,
1997-10-30,-1.001597463590187e-05,,
1997-11-03,-9.629165153013375e-06,,
1997-11-04,-9.828826468050167e-06,,
1997-11-05,-9.433919618162534e-06,,
1997-11-06,-8.785243099662665e-06,,
1997-11-07,-6.623027428931394e-06,,
1997-11-10,-4.149904183625708e-06,,
1997-11-11,-5.320416710974385e-06,,
1997-11-12,-4.309676997937828e-06,,
1997-11-13,-2.7850677419838377e-06,,
1997-11-14,-3.26993924693042e-06,,
1997-11-17,-4.3996813818836245e-06,,
1997-11-18,-3.949894299415391e-06,,
1997-11-19,-3.2514982297726647e-06,,
1997-11-20,-4.455181756402027e-06,,
1997-11-21,-6.016617788207057e-06,,
1997-11-24,-4.533335931311555e-06,,
1997-11-25,-5.292551517266375e-06,,
1997-11-26,-5.832099199354346e-06,,
1997-11-27,-6.731687823835486e-06,,
1997-11-28,-5.8875779720413135e-06,,
1997-12-01,-5.643072020111717e-06,,
1997-12-02,-5.01761470506068e-06,,
1997-12-03,-5.69634024927268e-06,,
1997-12-04,-6.2574561796591155e-06,,
1997-12-05,-5.6740349678729984e-06,,
1997-12-08,-6.69496640415268e-06,,
1997-12-09,-5.476845870378e-06,,
1997-12-10,-5.364930919737887e-06,,
1997-12-11,-6.1194962550636944e-06,,
1997-12-12,-6.496479856510362e-06,,
1997-12-15,-6.949027687497278e-06,,
1997-12-16,-9.208115206105205e-06,,
1997-12-17,-1.2015918052998842e-05,,
1997-12-18,-1.344263598457296e-05,,
1997-12-19,-1.2671097098237993e-05,,
1997-12-22,-1.3329584168664255e-05,,
1997-12-23,-1.4045098406523238e-05,,
1997-12-24,-1.394920197128613e-05,,
1997-12-26,-1.1098833983425038e-05,,
1997-12-29,-1.3259684877642286e-05,,
1997-12-30,-1.2398866707785672e-05,,
1997-12-31,-1.0942645445766175e-05,,
1998-01-01,-1.143098954536903e-05,,
1998-01-02,-1.1622590026627577e-05,,
1998-01-05,-1.170266756123084e-05,,
1998-01-06,-9.164467072331206e-06,,
1998-01-07,-8.660194794840592e-06,,
1998-01-08,-7.129949008088943e-06,,
1998-01-09,-1.9525164509648363e-06,,
1998-01-12,-5.275798848902724e-07,,
1998-01-13,-6.524860012291356e-07,,
1998-01-14,-3.255985583372478e-07,,
1998-01-15,1.5712659406919016e-07,,
1998-01-16,4.61362573256352e-07,,
1998-01-19,2.2393694121269903e-07,,
1998-01-20,1.6963360783828207e-06,,
1998-01-21,2.626375824044125e-06,,
1998-01-22,3.605793191030493e-06,,
1998-01-23,5.701373644528829e-06,,
1998-01-27,4.924951314211334e-06,,
1998-01-28,5.030092247171325e-06,,
1998-01-29,4.658191443795978e-06,,
1998-02-02,2.578315221213323e-06,,
1998-02-03,3.207767597324107e-06,,
1998-02-04,3.680323950816522e-06,,
1998-02-05,4.577072251765735e-06,,
1998-02-06,4.9529814191151544e-06,,
1998-02-09,4.5192284415795925e-06,,
1998-02-10,4.639071698342434e-06,,
1998-02-11,3.6544020769468943e-06,,
1998-02-12,2.9634706071313133e-06,,
1998-02-13,2.3865666708422495e-06,,
1998-02-16,1.2840601013586195e-06,,
1998-02-17,2.2804118713359856e-06,,
1998-02-18,2.372743129530619e-06,,
1998-02-19,2.121676225153024e-06,,
1998-02-20,3.064372605776633e-06,,
1998-02-23,2.0279459443939274e-06,,
1998-02-24,2.0523860986276787e-06,,
1998-02-26,8.269580693553991e-07,,
1998-02-27,6.639914202910546e-07,,
1998-03-02,-2.259367142931623e-06,,
1998-03-03,-4.6233020989383533e-07,,
1998-03-04,-2.2742939205233625e-06,,
1998-03-05,-2.5912691261620324e-06,,
1998-03-06,-3.6833799545998858e-06,,
1998-03-09,-5.186900794207361e-06,,
1998-03-10,-4.822553714145528e-06,,
1998-03-11,-3.087391695855146e-06,,
1998-03-12,2.5251126811731694e-07,,
1998-03-16,1.988163675137322e-06,,
1998-03-17,2.574762382856477e-06,,
1998-03-18,2.5154323650689037e-06,,
1998-03-19,2.49098778903889e-06,,
1998-03-20,1.6037922591083387e-06,,
1998-03-23,-1.4374618022561236e-06,,
1998-03-24,-2.0464652241702908e-06,,
1998-03-25,-1.9897316521078068e-06,,
1998-03-26,-1.2633333261735658e-06,,
1998-03-27,-1.8003290200852007e-06,,
1998-03-30,-1.325069483248953e-06,,
1998-03-31,-1.1422545211914326e-06,,
1998-04-01,-3.613401638125069e-06,,
1998-04-02,-3.4205754686489342e-06,,
1998-04-03,-4.221165666562499e-06,,
1998-04-06,-5.184683257386524e-06,,
1998-04-07,-6.143031022309842e-06,,
1998-04-08,-6.198849193506106e-06,,
1998-04-10,-7.323700831562974e-06,,
1998-04-13,-1.1866357906065161e-05,,
1998-04-15,-1.3115272926578214e-05,,
1998-04-16,-9.738785217150436e-06,,
1998-04-17,-9.78501798276632e-06,,
1998-04-20,-1.0980734085341837e-05,,
1998-04-21,-1.3403927724642273e-05,,
1998-04-22,-9.168692062688777e-06,,
1998-04-23,-8.968797179376153e-06,,
1998-04-24,-7.459469288928489e-06,,
1998-04-27,-8.437755811607772e-06,,
1998-04-29,-6.2446958901674066e-06,,
1998-04-30,-5.801813300010394e-06,,
1998-05-04,-6.80613479331349e-06,,
1998-05-05,-6.7435918911229464e-06,,
1998-05-06,-5.411682127087758e-06,,
1998-05-08,-4.870686180158401e-06,,
1998-05-12,-3.7448774012904806e-06,,
1998-05-13,-1.3312747362270727e-06,,
1998-05-14,-3.475375798478453e-06,,
1998-05-15,-2.1575805584372887e-06,,
1998-05-18,-3.736149119415444e-06,,
1998-05-19,-4.520743635882951e-06,,
1998-05-20,-5.451074654994059e-06,,
1998-05-21,-4.375823092539477e-06,,
1998-05-22,-3.836962772396646e-06,,
1998-05-25,-4.320436492566415e-06,,
1998-05-26,-4.453660958469996e-06,,
1998-05-27,-3.132433191943562e-06,,
1998-05-28,-2.6028438795400177e-06,,
1998-05-29,-2.1973163826238817e-06,,
1998-06-01,-1.9602648886341e-06,,
1998-06-02,-8.229913375235043e-07,,
1998-06-03,-1.126584018518173e-06,,
1998-06-04,-5.767501234377193e-07,,
1998-06-05,1.3776997405123836e-06,,
1998-06-08,2.1197038742037932e-06,,
1998-06-09,1.1045650845087351e-06,,
1998-06-10,3.2714892606033885e-06,,
1998-06-11,3.2304639556723913e-06,,
1998-06-12,3.2915017040835437e-06,,
1998-06-15,6.386818182324561e-06,,
1998-06-16,6.784686692573594e-06,,
1998-06-17,4.1949644404848385e-06,,
1998-06-18,5.486638830154433e-06,,
1998-06-19,7.138433483211415e-06,,
1998-06-22,8.115165018196535e-06,,
1998-06-23,8.796808357192099e-06,,
1998-06-24,7.718599829842354e-06,,
1998-06-25,7.412416563989943e-06,,
1998-06-26,8.047143557732284e-06,,
1998-06-29,6.475899653080042e-06,,
1998-06-30,7.28955387474528e-06,,
1998-07-01,7.821443091415858e-06,,
1998-07-02,8.340738466894315e-06,,
1998-07-03,9.495396902536868e-06,,
1998-07-06,8.477341662316284e-06,,
1998-07-07,8.189197101993173e-06,,
1998-07-08,7.573130879845458e-06,,
1998-07-09,6.95819335450043e-06,,
1998-07-10,6.297112030817509e-06,,
1998-07-13,7.77068772073175e-06,,
1998-07-14,7.528539035961401e-06,,
1998-07-15,7.650550202464856e-06,,
1998-07-16,6.4519569143994815e-06,,
1998-07-17,6.6474181951159395e-06,,
1998-07-20,7.45847873406813e-06,,
1998-07-21,7.968256828250198e-06,,
1998-07-22,8.751656992767032e-06,,
1998-07-23,9.844592432584065e-06,,
1998-07-24,1.0096203084342115e-05,,
1998-07-27,1.0300139927976737e-05,,
1998-07-28,9.429964234364263e-06,,
1998-07-29,8.77118183872927e-06,,
1998-07-30,8.786857838671835e-06,0.028441574189399743,
1998-07-31,8.374218055551275e-06,0.027957901923611694,
1998-08-03,9.539257661672629e-06,0.020807393707900634,
1998-08-04,9.855857573515259e-06,0.016675314122133078,
1998-08-05,9.909241470706931e-06,0.012338875481885947,
1998-08-06,1.0029251915177895e-05,0.004898818385344783,
1998-08-07,9.898415286979656e-06,0.005799226381618228,
1998-08-10,1.0339397349956592e-05,0.0006025640166849033,
1998-08-11,1.0991484897693304e-05,0.004152457242156737,
1998-08-12,1.142282940880257e-05,0.007757122964682783,
1998-08-13,1.1369824103546478e-05,0.009408507850220627,
1998-08-14,1.1675497351593123e-05,0.008159917046153375,
1998-08-17,1.2569169438148009e-05,0.0027539304802153275,
1998-08-18,1.3382226372260497e-05,-0.004260979398022169,
1998-08-19,1.2987437147504721e-05,-0.01804566551267528,
1998-08-20,1.185196042041703e-05,-0.024023723101798344,
1998-08-21,1.1988498300419259e-05,-0.01743120037986501,
